reservation_id,renter_user_id,host_user_id,listing_id,created_at,approved_at,successful_payment_collected_at,hex_08_id,dma
1,8650,378,660,2023-01-02 08:34:49.186386,2023-01-02 17:19:39.922525,2023-01-02 17:41:33.048903,e4bf25491e508c73,San Francisco
2,5900,302,96,2023-09-10 15:00:10.232206,2023-09-10 19:22:20.955217,2023-09-10 19:38:41.528126,3224fe7cbf365637,Boston
3,6061,42,257,2023-06-30 05:36:38.181631,2023-06-30 17:12:53.436124,2023-06-30 17:29:37.778263,4d4c926065e95e0d,Philadelphia
4,5735,476,194,2023-12-23 17:00:42.381330,2023-12-24 06:31:43.785891,2023-12-24 06:57:17.531035,b68c679502560d4a,Boston
5,541,463,34,2023-08-21 18:50:26.272940,2023-08-22 00:03:18.431382,2023-08-22 00:21:22.019442,5da16cacc1b75adb,Washington DC
6,1229,354,611,2023-11-08 20:01:16.685756,2023-11-09 15:57:58.393630,2023-11-09 16:15:26.688915,44d3f3e6352a82f0,Washington DC
7,3076,44,670,2023-08-28 15:13:02.526305,2023-08-28 21:47:04.088644,2023-08-28 22:00:46.079623,34e8475ceea9e348,Dallas-Ft. Worth
8,5296,413,637,2023-10-10 17:31:52.958505,2023-10-11 12:58:57.080802,2023-10-11 13:17:29.764210,fee4ba8f6260f55d,Houston
9,2123,216,787,2023-12-22 16:16:36.198919,2023-12-23 04:21:41.303107,2023-12-23 04:38:05.738844,56d6de395200266a,Boston
10,8801,307,33,2023-08-06 20:50:37.395640,2023-08-07 07:19:56.395711,2023-08-07 07:41:03.696882,6b3236452c8e41c2,Chicago
11,6244,211,564,2023-12-29 13:32:04.192764,2023-12-29 16:50:27.956368,2023-12-29 17:05:36.919611,27c5817123185fc0,Chicago
12,8066,301,893,2023-06-15 09:04:10.989761,2023-06-15 23:05:03.113950,2023-06-15 23:10:14.216345,fa11c64e76003e12,Houston
13,2870,21,652,2023-05-21 18:32:02.588709,2023-05-22 10:43:37.955061,2023-05-22 10:59:30.319628,d6a119b47a4bfd8e,Dallas-Ft. Worth
14,38,398,946,2023-12-08 03:59:59.533278,2023-12-08 20:30:08.245756,2023-12-08 20:37:59.348337,f619e9fddd8ba058,Houston
15,5940,94,453,2023-11-04 03:34:51.574746,2023-11-04 12:48:58.302204,2023-11-04 13:11:28.400780,c26a95d9593646b1,Boston
16,7802,167,501,2023-01-19 19:33:17.433798,2023-01-19 23:58:45.699103,2023-01-20 00:26:22.447178,f6c2161414702363,Chicago
17,2219,197,277,2023-05-26 19:22:54.728975,2023-05-27 10:03:40.011314,2023-05-27 10:23:23.098047,02722d0681f2eed9,Atlanta
18,1129,8,189,2023-05-29 04:29:15.130710,2023-05-30 04:05:53.484172,2023-05-30 04:34:20.689920,2f3c5ac047c21f38,Atlanta
19,3782,208,633,2023-04-24 11:56:35.544857,2023-04-24 20:27:37.171543,2023-04-24 20:34:28.123682,f6129f6e4c0438d2,Washington DC
20,8681,32,529,2023-04-28 01:37:54.852416,2023-04-28 07:36:05.041332,2023-04-28 07:56:29.290899,295106aaa35fbdf3,Boston
21,2275,291,92,2023-06-25 01:54:01.327862,2023-06-25 04:01:45.799322,2023-06-25 04:30:48.470275,25e46a1f700172b2,Houston
22,3026,392,166,2023-05-30 23:33:50.723800,2023-05-31 07:19:43.233788,2023-05-31 07:41:09.434657,32874719b160fc24,Washington DC
23,7643,57,160,2023-03-25 14:41:58.500720,2023-03-26 00:35:22.803528,2023-03-26 00:53:16.104094,c7a7a9896c2bfda3,Boston
24,2749,268,112,2023-06-05 20:31:23.637951,,,238fb962e5a8d046,San Francisco
25,899,28,124,2023-09-13 22:02:37.540239,2023-09-14 17:10:42.464345,2023-09-14 17:16:02.448337,18e591c668a1a1c9,Boston
26,1167,181,114,2023-06-01 01:20:40.059158,2023-06-01 09:02:19.767747,2023-06-01 09:27:15.720113,544b90cf98a405de,New York
